[2016-Mar-11 22:31:36.864643]: From SciDB to Postgres
[2016-Mar-11 22:31:36.865241]: postgresWriteBinary is nullable: false
[2016-Mar-11 22:31:36.865285]: postgresWriteBinary bytes number: 4
[2016-Mar-11 22:31:36.865309]: postgresWriteBinary is nullable: true
[2016-Mar-11 22:31:36.865326]: postgresWriteBinary bytes number: 4
[2016-Mar-11 22:31:36.865343]: postgresWriteBinary is nullable: false
[2016-Mar-11 22:31:36.865359]: postgresWriteBinary bytes number: 8
[2016-Mar-11 22:31:36.865375]: postgresWriteBinary is nullable: true
[2016-Mar-11 22:31:36.865391]: postgresWriteBinary bytes number: 8
[2016-Mar-11 22:31:36.865410]: postgresWriteBinary is nullable: false
[2016-Mar-11 22:31:36.865426]: postgresWriteBinary bytes number: 4
[2016-Mar-11 22:31:36.865442]: postgresWriteBinary is nullable: true
[2016-Mar-11 22:31:36.865458]: postgresWriteBinary is nullable: false
[2016-Mar-11 22:31:36.865474]: postgresWriteBinary bytes number: 8
[2016-Mar-11 22:31:36.865490]: postgresWriteBinary is nullable: true
